ITEM_CODE	ITEM_NAME	SUPPLIER	COLLECTION	SERIAL	STATUS
0	0	Home Ideas			MANUAL
FABCARE-S401	A -   NEW MOLFINO-SOFT CHENILLE-PLUM Sr No 37	Home Ideas	NEW MOLFINO	37	AUTO
FAB0217250547	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC CREAM 519	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC CREAM 519	519	MANUAL
FAB0217250555	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC CRIMSON 527	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC CRIMSON 527	527	MANUAL
FAB0217250530	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC DAISY 502	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC DAISY 502	502	MANUAL
FAB0217250550	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC GEM 522	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC GEM 522	522	MANUAL
FAB0217250552	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC JADE 524	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC JADE 524	524	MANUAL
FAB0217250556	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC MULBERRY 528	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC MULBERRY 528	528	MANUAL
FAB0217250546	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC OYESTER 518	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC OYESTER 518	518	MANUAL
FAB0217250544	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC PEARL 516	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC PEARL 516	516	MANUAL
FAB0217250545	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC PEWTER 517	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC PEWTER 517	517	MANUAL
FAB0217250551	A -  Home Ideas BLUE SKY-V OLWEN HAPTIC SHELL 523	Home Ideas	HOME IDEAS BLUE SKY-V OLWEN HAPTIC SHELL 523	523	MANUAL
